Period,Project_ID,Division,Funding_Mechanism,Budget_Revenue,Actual_Revenue,Budget_FTE_Hours,Actual_FTE_Hours,Budget_Labor_Recovery,Actual_Labor_Recovery,Budget_Direct_Labor_Cost,Actual_Direct_Labor_Cost,Budget_Lab_OpEx,Actual_Lab_OpEx,Budget_Overhead,Actual_Overhead,Budget_Depreciation,Actual_Depreciation
2026-05-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,96305.44587208243,281.0244046722596,281.488506980412,46848.32626028161,46925.69468803731,20374.26933873882,20455.037832412778,20146.36378923199,22917.938704452972,17486.682770192445,17486.682770192445,8849.377460624444,8849.377460624444
2026-06-01,RND-101,Applied Agricultural Science,Competitive Research Grant,97148.23761218025,92565.10347696248,281.0244046722596,252.67920305952154,46848.32626028161,42123.02400542696,20374.26933873882,18605.948795889937,20146.36378923199,23303.353972707206,17486.682770192445,17486.682770192445,8849.377460624444,9291.846333655667
2025-07-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,96038.20574091554,835.5887735615946,834.8829159112213,124917.97118840116,124812.44762415242,60580.18608321561,60723.193404803256,18233.259196201958,19089.420562419476,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2025-08-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,100341.8635992952,835.5887735615946,836.269734083391,124917.97118840116,125019.77270792089,60580.18608321561,60771.40824806488,18233.259196201958,16032.064428130243,17600.241848366175,17600.241848366175,14106.622626825347,14106.622626825347
2025-09-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,97915.44559851426,835.5887735615946,812.3250468244614,124917.97118840116,121440.11504883465,60580.18608321561,58554.93108168443,18233.259196201958,20538.243785314917,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2025-10-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,85139.68357122586,835.5887735615946,769.7302383813567,124917.97118840116,115072.32119828813,60580.18608321561,57210.73617258582,18233.259196201958,19462.254858903572,17600.241848366175,17600.241848366175,14106.622626825347,14106.622626825347
2025-11-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,99545.82272583939,835.5887735615946,812.5386765260164,124917.97118840116,121472.05203715737,60580.18608321561,58862.19514639283,18233.259196201958,16862.051534903057,17600.241848366175,17600.241848366175,14106.622626825347,14106.622626825347
2025-12-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,93654.59325926326,835.5887735615946,716.4173189488558,124917.97118840116,107102.20246960732,60580.18608321561,51511.797361136545,18233.259196201958,16545.907937418742,17600.241848366175,17600.241848366175,14106.622626825347,14106.622626825347
2026-01-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,98174.90613970128,835.5887735615946,810.3654951521262,124917.97118840116,121147.16805494003,60580.18608321561,59084.85115242978,18233.259196201958,17170.66861566328,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2026-02-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,111097.50472324359,835.5887735615946,846.4552749620788,124917.97118840116,126542.47998006259,60580.18608321561,63664.006906871145,18233.259196201958,20277.388054567287,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2026-03-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,91449.79873401242,835.5887735615946,887.8343409887095,124917.97118840116,132728.52405014436,60580.18608321561,63781.5692016361,18233.259196201958,19916.6908461827,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2026-04-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,87647.14396356318,835.5887735615946,739.2959923136652,124917.97118840116,110522.4943053059,60580.18608321561,55087.93982344832,18233.259196201958,18929.019329541363,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2026-05-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,77090.07407736164,835.5887735615946,865.7770129553538,124917.97118840116,129431.02083451419,60580.18608321561,64399.6287613524,18233.259196201958,19287.158154252076,17600.241848366175,17600.241848366175,14106.622626825347,14811.953758166615
2026-06-01,RND-102,Applied Agricultural Science,Government Crown Core,97779.12137981209,91533.3452269814,835.5887735615946,840.3784698153885,124917.97118840116,125634.01615880251,60580.18608321561,60606.85138900259,18233.259196201958,19511.13232766127,17600.241848366175,17600.241848366175,14106.622626825347,14106.622626825347
2025-07-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,63425.28324042807,299.63262904370833,261.65113106584545,50791.19586142659,44352.89269978192,21723.365605668856,19154.971024430597,14324.144909614404,12757.189170869076,13662.309195465747,13662.309195465747,13626.538838849665,13626.538838849665
2025-08-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,81706.38144190998,299.63262904370833,278.57900728186564,50791.19586142659,47222.36348856056,21723.365605668856,20408.294469130087,14324.144909614404,15361.400602303456,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2025-09-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,77618.61539951205,299.63262904370833,291.9391566085915,50791.19586142659,49487.06330899517,21723.365605668856,21793.30970369691,14324.144909614404,14602.330835821607,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2025-10-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,87634.55313850303,299.63262904370833,259.9535365364285,50791.19586142659,44065.13079443774,21723.365605668856,18844.84626489758,14324.144909614404,12944.777835679433,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2025-11-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,71728.90280899113,299.63262904370833,287.2934267500043,50791.19586142659,48699.55837029786,21723.365605668856,21145.51778847742,14324.144909614404,12425.728702355338,13662.309195465747,13662.309195465747,13626.538838849665,13626.538838849665
2025-12-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,79557.14166516627,299.63262904370833,294.27192069143786,50791.19586142659,49882.49379935431,21723.365605668856,21339.590828166267,14324.144909614404,13926.92408416995,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2026-01-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,83692.34669212297,299.63262904370833,298.0677485668796,50791.19586142659,50525.93052282844,21723.365605668856,22223.65828766648,14324.144909614404,15117.216711339819,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2026-02-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,75274.36554579943,299.63262904370833,275.6614083391597,50791.19586142659,46727.796725865126,21723.365605668856,20000.195674968254,14324.144909614404,16277.794024864868,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2026-03-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,68871.96781947472,299.63262904370833,263.4006313715971,50791.19586142659,44649.45323450291,21723.365605668856,19626.690802773952,14324.144909614404,15066.546593775553,13662.309195465747,13662.309195465747,13626.538838849665,13626.538838849665
2026-04-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,74862.39377184275,299.63262904370833,304.302464138678,50791.19586142659,51582.78691646675,21723.365605668856,22032.46083248498,14324.144909614404,15248.12641841791,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2026-05-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,69452.01951727884,299.63262904370833,300.3353259581052,50791.19586142659,50910.31111507657,21723.365605668856,21634.87652275185,14324.144909614404,14469.627021225295,13662.309195465747,13662.309195465747,13626.538838849665,13626.538838849665
2026-06-01,RND-103,Applied Agricultural Science,Competitive Research Grant,75901.71775258749,74538.5155621776,299.63262904370833,308.99384433376594,50791.19586142659,52378.03011514513,21723.365605668856,22642.491636616407,14324.144909614404,13252.399274371732,13662.309195465747,13662.309195465747,13626.538838849665,14307.865780792148
2025-07-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,64896.1546584001,744.7322851642383,671.3215741726667,131407.7420231427,118454.44865331316,53993.09067440728,49108.77765911943,14398.72568426224,13765.139130757436,13254.005279181478,13254.005279181478,12598.43195681335,13228.353554654019
2025-08-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,78084.5459350213,744.7322851642383,749.8220462976167,131407.7420231427,132305.8285319435,53993.09067440728,53884.301149769446,14398.72568426224,15396.118413697517,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2025-09-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,71480.80694037575,744.7322851642383,665.2286978359016,131407.7420231427,117379.36283013849,53993.09067440728,49271.73031982265,14398.72568426224,14846.096335010736,13254.005279181478,13254.005279181478,12598.43195681335,13228.353554654019
2025-10-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,75761.34094567112,744.7322851642383,698.2553856965075,131407.7420231427,123206.90994300235,53993.09067440728,50148.34890376476,14398.72568426224,18224.568086803683,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2025-11-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,77031.3889398004,744.7322851642383,723.119684993046,131407.7420231427,127594.20654962816,53993.09067440728,53568.19878074191,14398.72568426224,17477.39939033852,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2025-12-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,73011.98241345529,744.7322851642383,716.8539884088844,131407.7420231427,126488.62665638476,53993.09067440728,53238.285714797195,14398.72568426224,15604.194212418084,13254.005279181478,13254.005279181478,12598.43195681335,13228.353554654019
2026-01-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,68400.78125522556,744.7322851642383,688.1285448450611,131407.7420231427,121420.03254205442,53993.09067440728,51170.0415475141,14398.72568426224,14563.94131869946,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2026-02-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,82936.03532214634,744.7322851642383,707.1320488365508,131407.7420231427,124773.19393950708,53993.09067440728,52455.52997316289,14398.72568426224,15574.493081194043,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2026-03-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,70439.90270204071,744.7322851642383,662.9246861599445,131407.7420231427,116972.82080428056,53993.09067440728,49224.0292940387,14398.72568426224,16504.245708547784,13254.005279181478,13254.005279181478,12598.43195681335,13228.353554654019
2026-04-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,73343.2996358707,744.7322851642383,699.9512427725726,131407.7420231427,123506.1433099438,53993.09067440728,52471.76946271336,14398.72568426224,14825.875135120634,13254.005279181478,13254.005279181478,12598.43195681335,13228.353554654019
2026-05-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,66555.68612192106,744.7322851642383,619.3280474089107,131407.7420231427,109280.20968455642,53993.09067440728,44473.841931164316,14398.72568426224,15926.472520661215,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2026-06-01,RND-104,Applied Agricultural Science,Competitive Research Grant,73633.36266211933,70444.7099465793,744.7322851642383,748.0011680633312,131407.7420231427,131984.5352269087,53993.09067440728,55236.43092516544,14398.72568426224,13992.16687224114,13254.005279181478,13254.005279181478,12598.43195681335,12598.43195681335
2025-07-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,157005.37715495005,631.5068949472852,673.9547775007641,114513.61266383594,122210.85305823392,45784.24988367818,48586.76845353743,26793.030286220448,29475.39541791167,29239.29113047968,29239.29113047968,13560.735042961907,14238.771795110004
2025-08-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,156350.30159969485,631.5068949472852,602.0456082955271,114513.61266383594,109171.28244509893,45784.24988367818,43939.75638593577,26793.030286220448,28357.46367674387,29239.29113047968,29239.29113047968,13560.735042961907,14238.771795110004
2025-09-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,173862.68837889694,631.5068949472852,559.5681755701356,114513.61266383594,101468.68360257057,45784.24988367818,40165.12360404383,26793.030286220448,28438.749821537283,29239.29113047968,29239.29113047968,13560.735042961907,13560.735042961907
2025-10-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,156456.8971142279,631.5068949472852,614.0740061970864,114513.61266383594,111352.43883355077,45784.24988367818,44576.343592043035,26793.030286220448,30776.505925897436,29239.29113047968,29239.29113047968,13560.735042961907,14238.771795110004
2025-11-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,164127.7043616961,631.5068949472852,629.4455318992548,114513.61266383594,114139.81764824643,45784.24988367818,46239.022885346014,26793.030286220448,31535.742219080035,29239.29113047968,29239.29113047968,13560.735042961907,14238.771795110004
2025-12-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,171566.03468772347,631.5068949472852,597.6480623056516,114513.61266383594,108373.85824880721,45784.24988367818,43354.42350538498,26793.030286220448,25727.57982351663,29239.29113047968,29239.29113047968,13560.735042961907,14238.771795110004
2026-01-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,142123.60328278595,631.5068949472852,639.6646039351115,114513.61266383594,115992.8819081317,45784.24988367818,46004.67227459857,26793.030286220448,32834.77063476687,29239.29113047968,29239.29113047968,13560.735042961907,13560.735042961907
2026-02-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,164902.70208278,631.5068949472852,611.62079660193,114513.61266383594,110907.58875256093,45784.24988367818,45970.69370670503,26793.030286220448,31244.703732791422,29239.29113047968,29239.29113047968,13560.735042961907,13560.735042961907
2026-03-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,158944.63854999552,631.5068949472852,533.1054370880811,114513.61266383594,96670.09183927505,45784.24988367818,39995.99606370401,26793.030286220448,24575.528631938072,29239.29113047968,29239.29113047968,13560.735042961907,13560.735042961907
2026-04-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,154860.7311999826,631.5068949472852,612.0341863027204,114513.61266383594,110982.55032218793,45784.24988367818,45378.58421564775,26793.030286220448,24345.92943649564,29239.29113047968,29239.29113047968,13560.735042961907,14238.771795110004
2026-05-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,141653.40229681923,631.5068949472852,580.3198012144106,114513.61266383594,105231.65696071862,45784.24988367818,43657.11798418707,26793.030286220448,23580.08871147382,29239.29113047968,29239.29113047968,13560.735042961907,13560.735042961907
2026-06-01,RND-105,Applied Agricultural Science,Government Crown Core,162440.50628044267,135667.29838858027,631.5068949472852,571.1779082923122,114513.61266383594,103573.92179825007,45784.24988367818,41828.46404341794,26793.030286220448,32423.294702105395,29239.29113047968,29239.29113047968,13560.735042961907,13560.735042961907
2025-07-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,161115.73270380334,620.098118601819,598.8938496288686,102068.64799020009,98578.40829947244,44957.11359863188,44498.29121843084,32068.526270519298,30861.329859160676,27069.07663432856,27069.07663432856,8626.90737605537,8626.90737605537
2025-08-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,159918.8496768172,620.098118601819,605.7353838605676,102068.64799020009,99704.53032477824,44957.11359863188,45477.50371222049,32068.526270519298,28820.2156374806,27069.07663432856,27069.07663432856,8626.90737605537,9058.252744858139
2025-09-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,154167.30417294725,620.098118601819,586.0659839492839,102068.64799020009,96466.9313134314,44957.11359863188,44168.77916516236,32068.526270519298,35774.821167181515,27069.07663432856,27069.07663432856,8626.90737605537,8626.90737605537
2025-10-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,165883.59087788448,620.098118601819,642.245233502694,102068.64799020009,105714.08087735817,44957.11359863188,46333.76192819259,32068.526270519298,41578.13720979568,27069.07663432856,27069.07663432856,8626.90737605537,8626.90737605537
2025-11-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,157239.44596932398,620.098118601819,625.8711593509731,102068.64799020009,103018.89513074473,44957.11359863188,45092.49322683575,32068.526270519298,35707.12906815095,27069.07663432856,27069.07663432856,8626.90737605537,9058.252744858139
2025-12-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,155590.056205347,620.098118601819,614.0628192831349,102068.64799020009,101075.23287863155,44957.11359863188,46213.999821654455,32068.526270519298,28459.00503206265,27069.07663432856,27069.07663432856,8626.90737605537,8626.90737605537
2026-01-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,166313.80411074706,620.098118601819,554.5892895104748,102068.64799020009,91285.84214674598,44957.11359863188,40038.89269028442,32068.526270519298,33458.98672424626,27069.07663432856,27069.07663432856,8626.90737605537,9058.252744858139
2026-02-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,145057.9851069782,620.098118601819,618.5015603341238,102068.64799020009,101805.85321799749,44957.11359863188,46553.789418147644,32068.526270519298,32158.97027468346,27069.07663432856,27069.07663432856,8626.90737605537,9058.252744858139
2026-03-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,131845.87395767597,620.098118601819,558.7940967863833,102068.64799020009,91977.95679898688,44957.11359863188,40142.15988515588,32068.526270519298,35318.93569944378,27069.07663432856,27069.07663432856,8626.90737605537,8626.90737605537
2026-04-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,147328.75128013556,620.098118601819,612.0381884914395,102068.64799020009,100741.977025423,44957.11359863188,45058.66366099565,32068.526270519298,36302.970451808986,27069.07663432856,27069.07663432856,8626.90737605537,8626.90737605537
2026-05-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,132356.79219862728,620.098118601819,634.3751163403604,102068.64799020009,104418.65327616643,44957.11359863188,47729.1520054039,32068.526270519298,37686.31329465465,27069.07663432856,27069.07663432856,8626.90737605537,9058.252744858139
2026-06-01,RND-106,Ecosystem & Environmental Risk,Government Crown Core,150383.75907960313,150083.41287871107,620.098118601819,575.7010950551036,102068.64799020009,94760.86228296405,44957.11359863188,43359.73664189261,32068.526270519298,38008.17243198932,27069.07663432856,27069.07663432856,8626.90737605537,9058.252744858139
2025-07-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,111336.09614817303,590.3083296342163,634.0234890123422,93186.79140455127,100087.71967149676,42797.35389848068,46658.45592482474,24676.859458053215,24594.598382426142,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2025-08-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,111385.93110896266,590.3083296342163,616.0118236120604,93186.79140455127,97244.37624867112,42797.35389848068,44689.713111075056,24676.859458053215,23525.22619195591,21961.27602188738,21961.27602188738,13032.953164916966,13032.953164916966
2025-09-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,133821.12845770063,590.3083296342163,610.383172394853,93186.79140455127,96355.83051666037,42797.35389848068,45123.77388694684,24676.859458053215,30809.345037710973,21961.27602188738,21961.27602188738,13032.953164916966,13032.953164916966
2025-10-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,117074.64543707001,590.3083296342163,579.3052302542878,93186.79140455127,91449.82874411195,42797.35389848068,43344.73238890028,24676.859458053215,28084.21598113572,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2025-11-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,127205.04595804568,590.3083296342163,563.5809847028363,93186.79140455127,88967.58020273525,42797.35389848068,41595.82938944745,24676.859458053215,25715.462641859864,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2025-12-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,109609.39566159793,590.3083296342163,556.2905823547444,93186.79140455127,87816.70841461756,42797.35389848068,40131.35197114589,24676.859458053215,25923.996278717506,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2026-01-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,113704.18500081611,590.3083296342163,538.0819855596809,93186.79140455127,84942.27716211841,42797.35389848068,40302.21874587301,24676.859458053215,24249.72028146801,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2026-02-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,116706.31044609183,590.3083296342163,566.1769091027176,93186.79140455127,89377.37598810662,42797.35389848068,42369.09923759368,24676.859458053215,25919.273477005212,21961.27602188738,21961.27602188738,13032.953164916966,13032.953164916966
2026-03-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,126039.44035214504,590.3083296342163,579.3070887708892,93186.79140455127,91450.12213180472,42797.35389848068,43276.894607105576,24676.859458053215,28531.863412399103,21961.27602188738,21961.27602188738,13032.953164916966,13032.953164916966
2026-04-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,138043.12957210396,590.3083296342163,541.4538298553217,93186.79140455127,85474.56060663833,42797.35389848068,39108.29161550051,24676.859458053215,28507.62323480582,21961.27602188738,21961.27602188738,13032.953164916966,13032.953164916966
2026-05-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,132814.33113215375,590.3083296342163,603.3732863048458,93186.79140455127,95249.24136647179,42797.35389848068,44824.44455954848,24676.859458053215,27652.48019019753,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2026-06-01,RND-107,Ecosystem & Environmental Risk,Competitive Research Grant,122007.08901048545,119253.41054703757,590.3083296342163,557.6651569376493,93186.79140455127,88033.70043132605,42797.35389848068,41515.50971844041,24676.859458053215,27337.411215484473,21961.27602188738,21961.27602188738,13032.953164916966,13684.600823162815
2025-07-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,102159.94827203557,926.3867580094474,850.5203637857251,136195.54779643982,125041.82066108807,67163.03995568493,61571.44526669744,22327.04444531715,23212.28863376886,20270.328919679694,20270.328919679694,5103.794630885001,5358.984362429252
2025-08-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,104936.9537403655,926.3867580094474,951.4623022439024,136195.54779643982,139882.10468402287,67163.03995568493,68292.57917864795,22327.04444531715,22412.987509772123,20270.328919679694,20270.328919679694,5103.794630885001,5103.794630885001
2025-09-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,108671.70416124651,926.3867580094474,904.3848745018681,136195.54779643982,132960.8744259925,67163.03995568493,67785.28167231505,22327.04444531715,20944.16524240509,20270.328919679694,20270.328919679694,5103.794630885001,5103.794630885001
2025-10-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,100559.4582536652,926.3867580094474,859.9774077333726,136195.54779643982,126432.17654630434,67163.03995568493,62706.67294602444,22327.04444531715,23387.05772653963,20270.328919679694,20270.328919679694,5103.794630885001,5103.794630885001
2025-11-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,103567.7612094754,926.3867580094474,956.8633579419617,136195.54779643982,140676.15720378998,67163.03995568493,71860.51413260459,22327.04444531715,26293.754801867188,20270.328919679694,20270.328919679694,5103.794630885001,5103.794630885001
2025-12-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,115481.2917014304,926.3867580094474,900.6762805282651,136195.54779643982,132415.64427948787,67163.03995568493,66375.44055555765,22327.04444531715,25367.641848335476,20270.328919679694,20270.328919679694,5103.794630885001,5358.984362429252
2026-01-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,95314.20261348257,926.3867580094474,830.6606454632515,136195.54779643982,122122.08417670203,67163.03995568493,61510.308048349936,22327.04444531715,21231.495319150694,20270.328919679694,20270.328919679694,5103.794630885001,5358.984362429252
2026-02-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,88414.93367894442,926.3867580094474,877.2779715688057,136195.54779643982,128975.67120270147,67163.03995568493,65149.06892882123,22327.04444531715,22194.13845912436,20270.328919679694,20270.328919679694,5103.794630885001,5358.984362429252
2026-03-01,RND-108,Ecosystem & Environmental Risk,International Research Consortium,112612.93844266498,117724.56310409152,926.3867580094474,903.5919529481861,136195.54779643982,132844.30066840188,67163.03995568493,67805.38161899308,22327.04444531715,23216.217241075003,20270.328919679694,20270.328919679694,5103.794630885001,5103.794630885001
